['NO: ', 'qqvideo\\935.jpg', ' number: ', array(129.2841, dtype=float32)]
['NO: ', 'qqvideo\\940.jpg', ' number: ', array(142.32825, dtype=float32)]
['NO: ', 'qqvideo\\945.jpg', ' number: ', array(128.94733, dtype=float32)]
['NO: ', 'qqvideo\\95.jpg', ' number: ', array(153.80771, dtype=float32)]
['NO: ', 'qqvideo\\950.jpg', ' number: ', array(135.94225, dtype=float32)]
['NO: ', 'qqvideo\\955.jpg', ' number: ', array(124.16971, dtype=float32)]
['NO: ', 'qqvideo\\960.jpg', ' number: ', array(133.07379, dtype=float32)]
['NO: ', 'qqvideo\\965.jpg', ' number: ', array(146.58638, dtype=float32)]
['NO: ', 'qqvideo\\970.jpg', ' number: ', array(149.3251, dtype=float32)]
['NO: ', 'qqvideo\\975.jpg', ' number: ', array(130.68056, dtype=float32)]
['NO: ', 'qqvideo\\980.jpg', ' number: ', array(135.33546, dtype=float32)]
['NO: ', 'qqvideo\\985.jpg', ' number: ', array(141.68901, dtype=float32)]
['NO: ', 'qqvideo\\990.jpg', ' number: ', array(134.27975, dtype=float32)]
['NO: ', 'qqvideo\\995.jpg', ' number: ', array(132.21935, dtype=float32)]
